ID,New
Coastal lagoonsLost,Coastal lagoons
Coastal lagoonsLost,Coastal saltmarsh
Coastal lagoonsLost,Cropland
Coastal lagoonsLost,Grassland
Coastal lagoonsLost,Heathland and shrub
Coastal lagoonsLost,Intertidal Hard Structures
Coastal lagoonsLost,Intertidal sediment
Coastal lagoonsLost,Lakes
Coastal lagoonsLost,Rocky shore
Coastal lagoonsLost,Sparsely vegetated land
Coastal lagoonsLost,Urban
Coastal lagoonsLost,Wetland
Coastal lagoonsLost,Woodland and forest
Coastal lagoonsLost,River Area
Coastal saltmarshLost,Coastal lagoons
Coastal saltmarshLost,Coastal saltmarsh
Coastal saltmarshLost,Cropland
Coastal saltmarshLost,Grassland
Coastal saltmarshLost,Heathland and shrub
Coastal saltmarshLost,Intertidal Hard Structures
Coastal saltmarshLost,Intertidal sediment
Coastal saltmarshLost,Lakes
Coastal saltmarshLost,Rocky shore
Coastal saltmarshLost,Sparsely vegetated land
Coastal saltmarshLost,Urban
Coastal saltmarshLost,Wetland
Coastal saltmarshLost,Woodland and forest
Coastal saltmarshLost,River Area
CroplandLost,Coastal lagoons
CroplandLost,Coastal saltmarsh
CroplandLost,Cropland
CroplandLost,Grassland
CroplandLost,Heathland and shrub
CroplandLost,Intertidal Hard Structures
CroplandLost,Intertidal sediment
CroplandLost,Lakes
CroplandLost,Rocky shore
CroplandLost,Sparsely vegetated land
CroplandLost,Urban
CroplandLost,Wetland
CroplandLost,Woodland and forest
CroplandLost,River Area
GrasslandLost,Coastal lagoons
GrasslandLost,Coastal saltmarsh
GrasslandLost,Cropland
GrasslandLost,Grassland
GrasslandLost,Heathland and shrub
GrasslandLost,Intertidal Hard Structures
GrasslandLost,Intertidal sediment
GrasslandLost,Lakes
GrasslandLost,Rocky shore
GrasslandLost,Sparsely vegetated land
GrasslandLost,Urban
GrasslandLost,Wetland
GrasslandLost,Woodland and forest
GrasslandLost,River Area
Heathland and shrubLost,Coastal lagoons
Heathland and shrubLost,Coastal saltmarsh
Heathland and shrubLost,Cropland
Heathland and shrubLost,Grassland
Heathland and shrubLost,Heathland and shrub
Heathland and shrubLost,Intertidal Hard Structures
Heathland and shrubLost,Intertidal sediment
Heathland and shrubLost,Lakes
Heathland and shrubLost,Rocky shore
Heathland and shrubLost,Sparsely vegetated land
Heathland and shrubLost,Urban
Heathland and shrubLost,Wetland
Heathland and shrubLost,Woodland and forest
Heathland and shrubLost,River Area
Intertidal Hard StructuresLost,Coastal lagoons
Intertidal Hard StructuresLost,Coastal saltmarsh
Intertidal Hard StructuresLost,Cropland
Intertidal Hard StructuresLost,Grassland
Intertidal Hard StructuresLost,Heathland and shrub
Intertidal Hard StructuresLost,Intertidal Hard Structures
Intertidal Hard StructuresLost,Intertidal sediment
Intertidal Hard StructuresLost,Lakes
Intertidal Hard StructuresLost,Rocky shore
Intertidal Hard StructuresLost,Sparsely vegetated land
Intertidal Hard StructuresLost,Urban
Intertidal Hard StructuresLost,Wetland
Intertidal Hard StructuresLost,Woodland and forest
Intertidal Hard StructuresLost,River Area
Intertidal sedimentLost,Coastal lagoons
Intertidal sedimentLost,Coastal saltmarsh
Intertidal sedimentLost,Cropland
Intertidal sedimentLost,Grassland
Intertidal sedimentLost,Heathland and shrub
Intertidal sedimentLost,Intertidal Hard Structures
Intertidal sedimentLost,Intertidal sediment
Intertidal sedimentLost,Lakes
Intertidal sedimentLost,Rocky shore
Intertidal sedimentLost,Sparsely vegetated land
Intertidal sedimentLost,Urban
Intertidal sedimentLost,Wetland
Intertidal sedimentLost,Woodland and forest
Intertidal sedimentLost,River Area
LakesLost,Coastal lagoons
LakesLost,Coastal saltmarsh
LakesLost,Cropland
LakesLost,Grassland
LakesLost,Heathland and shrub
LakesLost,Intertidal Hard Structures
LakesLost,Intertidal sediment
LakesLost,Lakes
LakesLost,Rocky shore
LakesLost,Sparsely vegetated land
