Value,Description
Hedge Ornamental Non NativeEnhanced,Hedge Ornamental Non Native
Hedge Ornamental Non NativeLost,N/A
Hedge Ornamental Non NativeRetained,Hedge Ornamental Non Native
Line of Trees - Associated with bank or ditchEnhanced,Line of Trees - Associated with bank or ditch
Line of Trees - Associated with bank or ditchLost,N/A
Line of Trees - Associated with bank or ditchRetained,Line of Trees - Associated with bank or ditch
Line of Trees (Ecologically Valuable) - with Bank or DitchEnhanced,Line of Trees (Ecologically Valuable) - with Bank or Ditch
Line of Trees (Ecologically Valuable) - with Bank or DitchLost,N/A
Line of Trees (Ecologically Valuable) - with Bank or DitchRetained,Line of Trees (Ecologically Valuable) - with Bank or Ditch
Line of Trees (Ecologically Valuable)Enhanced,Line of Trees (Ecologically Valuable)
Line of Trees (Ecologically Valuable)Lost,N/A
Line of Trees (Ecologically Valuable)Retained,Line of Trees (Ecologically Valuable)
Line of TreesEnhanced,Line of Trees
Line of TreesLost,N/A
Line of TreesRetained,Line of Trees
Native Hedgerow - Associated with bank or ditchEnhanced,Native Hedgerow - Associated with bank or ditch
Native Hedgerow - Associated with bank or ditchLost,N/A
Native Hedgerow - Associated with bank or ditchRetained,Native Hedgerow - Associated with bank or ditch
Native Hedgerow with trees - Associated with bank or ditchEnhanced,Native Hedgerow with trees - Associated with bank or ditch
Native Hedgerow with trees - Associated with bank or ditchLost,N/A
Native Hedgerow with trees - Associated with bank or ditchRetained,Native Hedgerow with trees - Associated with bank or ditch
Native Hedgerow with treesEnhanced,Native Hedgerow with trees
Native Hedgerow with treesLost,N/A
Native Hedgerow with treesRetained,Native Hedgerow with trees
Native HedgerowEnhanced,Native Hedgerow
Native HedgerowLost,N/A
Native HedgerowRetained,Native Hedgerow
Native Species Rich Hedgerow - Associated with bank or ditchEnhanced,Native Species Rich Hedgerow - Associated with bank or ditch
Native Species Rich Hedgerow - Associated with bank or ditchLost,N/A
Native Species Rich Hedgerow - Associated with bank or ditchRetained,Native Species Rich Hedgerow - Associated with bank or ditch
Native Species Rich Hedgerow with trees - Associated with bank or ditchEnhanced,Native Species Rich Hedgerow with trees - Associated with bank or ditch
Native Species Rich Hedgerow with trees - Associated with bank or ditchLost,N/A
Native Species Rich Hedgerow with trees - Associated with bank or ditchRetained,Native Species Rich Hedgerow with trees - Associated with bank or ditch
Native Species Rich Hedgerow with treesEnhanced,Native Species Rich Hedgerow with trees
Native Species Rich Hedgerow with treesLost,N/A
Native Species Rich Hedgerow with treesRetained,Native Species Rich Hedgerow with trees
Native Species Rich HedgerowEnhanced,Native Species Rich Hedgerow
Native Species Rich HedgerowLost,N/A
Native Species Rich HedgerowRetained,Native Species Rich Hedgerow
To be createdCreated,Hedge Ornamental Non Native
To be createdCreated,Line of Trees
To be createdCreated,Line of Trees - Associated with bank or ditch
To be createdCreated,Line of Trees (Ecologically Valuable)
To be createdCreated,Line of Trees (Ecologically Valuable) - with Bank or Ditch
To be createdCreated,Native Hedgerow
To be createdCreated,Native Hedgerow - Associated with bank or ditch
To be createdCreated,Native Hedgerow with trees
To be createdCreated,Native Hedgerow with trees - Associated with bank or ditch
To be createdCreated,Native Species Rich Hedgerow
To be createdCreated,Native Species Rich Hedgerow - Associated with bank or ditch
To be createdCreated,Native Species Rich Hedgerow with trees
To be createdCreated,Native Species Rich Hedgerow with trees - Associated with bank or ditch
Hedge Ornamental Non NativeEnhanced,Native Hedgerow
Hedge Ornamental Non NativeEnhanced,Native Hedgerow - Associated with bank or ditch
Hedge Ornamental Non NativeEnhanced,Native Hedgerow with trees
Hedge Ornamental Non NativeEnhanced,Native Hedgerow with trees - Associated with bank or ditch
Hedge Ornamental Non NativeEnhanced,Native Species Rich Hedgerow
