Habitat,Description
Hedge Ornamental Non Native,Formally identified in local strategy
Hedge Ornamental Non Native,Location ecologically desirable but not in local strategy
Hedge Ornamental Non Native,Area/compensation not in local strategy/ no local strategy
Line of Trees,Formally identified in local strategy
Line of Trees,Location ecologically desirable but not in local strategy
Line of Trees,Area/compensation not in local strategy/ no local strategy
Line of Trees - Associated with bank or ditch,Formally identified in local strategy
Line of Trees - Associated with bank or ditch,Location ecologically desirable but not in local strategy
Line of Trees - Associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Line of Trees (Ecologically Valuable),Formally identified in local strategy
Line of Trees (Ecologically Valuable),Location ecologically desirable but not in local strategy
Line of Trees (Ecologically Valuable),Area/compensation not in local strategy/ no local strategy
Line of Trees (Ecologically Valuable) - with Bank or Ditch,Formally identified in local strategy
Line of Trees (Ecologically Valuable) - with Bank or Ditch,Location ecologically desirable but not in local strategy
Line of Trees (Ecologically Valuable) - with Bank or Ditch,Area/compensation not in local strategy/ no local strategy
Native Hedgerow,Formally identified in local strategy
Native Hedgerow,Location ecologically desirable but not in local strategy
Native Hedgerow,Area/compensation not in local strategy/ no local strategy
Native Hedgerow - Associated with bank or ditch,Formally identified in local strategy
Native Hedgerow - Associated with bank or ditch,Location ecologically desirable but not in local strategy
Native Hedgerow - Associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Native Hedgerow with trees,Formally identified in local strategy
Native Hedgerow with trees,Location ecologically desirable but not in local strategy
Native Hedgerow with trees,Area/compensation not in local strategy/ no local strategy
Native Hedgerow with trees - Associated with bank or ditch,Formally identified in local strategy
Native Hedgerow with trees - Associated with bank or ditch,Location ecologically desirable but not in local strategy
Native Hedgerow with trees - Associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Native Species Rich Hedgerow,Formally identified in local strategy
Native Species Rich Hedgerow,Location ecologically desirable but not in local strategy
Native Species Rich Hedgerow,Area/compensation not in local strategy/ no local strategy
Native Species Rich Hedgerow - Associated with bank or ditch,Formally identified in local strategy
Native Species Rich Hedgerow - Associated with bank or ditch,Location ecologically desirable but not in local strategy
Native Species Rich Hedgerow - Associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
Native Species Rich Hedgerow with trees,Formally identified in local strategy
Native Species Rich Hedgerow with trees,Location ecologically desirable but not in local strategy
Native Species Rich Hedgerow with trees,Area/compensation not in local strategy/ no local strategy
Native Species Rich Hedgerow with trees - Associated with bank or ditch,Formally identified in local strategy
Native Species Rich Hedgerow with trees - Associated with bank or ditch,Location ecologically desirable but not in local strategy
Native Species Rich Hedgerow with trees - Associated with bank or ditch,Area/compensation not in local strategy/ no local strategy
To be created,N/A
N/A,N/A
