Habitat,Condition,Label
Canals,Fairly Good,2. Fairly Good
Ditches,Fairly Good,2. Fairly Good
Other Rivers and Streams,Fairly Good,2. Fairly Good
Priority Habitat,Fairly Good,2. Fairly Good
Canals,Fairly Poor,4. Fairly Poor
Ditches,Fairly Poor,4. Fairly Poor
Other Rivers and Streams,Fairly Poor,4. Fairly Poor
Priority Habitat,Fairly Poor,4. Fairly Poor
Canals,Good,1. Good
Ditches,Good,1. Good
Other Rivers and Streams,Good,1. Good
Priority Habitat,Good,1. Good
Canals,Moderate,3. Moderate
Ditches,Moderate,3. Moderate
Other Rivers and Streams,Moderate,3. Moderate
Priority Habitat,Moderate,3. Moderate
N/A,N/A,6. N/A
To be created,N/A,6. N/A
Canals,Poor,5. Poor
Culvert,Poor,5. Poor
Ditches,Poor,5. Poor
Other Rivers and Streams,Poor,5. Poor
Priority Habitat,Poor,5. Poor
