Value,Options,Label
To be created,Created,1. Created
Canals,Enhanced,3. Enhanced
Culvert,Enhanced,3. Enhanced
Ditches,Enhanced,3. Enhanced
Other Rivers and Streams,Enhanced,3. Enhanced
Priority Habitat,Enhanced,3. Enhanced
Canals,Lost,4. Lost
Culvert,Lost,4. Lost
Ditches,Lost,4. Lost
Other Rivers and Streams,Lost,4. Lost
Priority Habitat,Lost,4. Lost
Canals,Retained,2. Retained
Culvert,Retained,2. Retained
Ditches,Retained,2. Retained
Other Rivers and Streams,Retained,2. Retained
Priority Habitat,Retained,2. Retained
