Value,Description
Canals3. Enhanced,Canals
Canals3. Enhanced,Culvert
Canals3. Enhanced,Ditches
Canals3. Enhanced,Other Rivers and Streams
Canals3. Enhanced,Priority Habitat
Canals4. Lost,N/A
Canals2. Retained,Canals
Culvert3. Enhanced,Canals
Culvert3. Enhanced,Culvert
Culvert3. Enhanced,Ditches
Culvert3. Enhanced,Other Rivers and Streams
Culvert3. Enhanced,Priority Habitat
Culvert4. Lost,N/A
Culvert2. Retained,Culvert
Ditches3. Enhanced,Canals
Ditches3. Enhanced,Culvert
Ditches3. Enhanced,Ditches
Ditches3. Enhanced,Other Rivers and Streams
Ditches3. Enhanced,Priority Habitat
Ditches4. Lost,N/A
Ditches2. Retained,Ditches
Other Rivers and Streams3. Enhanced,Canals
Other Rivers and Streams3. Enhanced,Culvert
Other Rivers and Streams3. Enhanced,Ditches
Other Rivers and Streams3. Enhanced,Other Rivers and Streams
Other Rivers and Streams3. Enhanced,Priority Habitat
Other Rivers and Streams4. Lost,N/A
Other Rivers and Streams2. Retained,Other Rivers and Streams
Priority Habitat3. Enhanced,Canals
Priority Habitat3. Enhanced,Culvert
Priority Habitat3. Enhanced,Ditches
Priority Habitat3. Enhanced,Other Rivers and Streams
Priority Habitat3. Enhanced,Priority Habitat
Priority Habitat4. Lost,N/A
Priority Habitat2. Retained,Priority Habitat
To be created1. Created,Canals
To be created1. Created,Culvert
To be created1. Created,Ditches
To be created1. Created,Other Rivers and Streams
To be created1. Created,Priority Habitat
