Habitat,Significance
Canals,Low potential/action not identified in any plan
Culvert,Low potential/action not identified in any plan
Ditches,Low potential/action not identified in any plan
Other Rivers and Streams,Low potential/action not identified in any plan
Priority Habitat,Low potential/action not identified in any plan
To be created,N/A
N/A,N/A
Canals,Delivery within Catchment Planning System
Culvert,Delivery within Catchment Planning System
Ditches,Delivery within Catchment Planning System
Other Rivers and Streams,Delivery within Catchment Planning System
Priority Habitat,Delivery within Catchment Planning System
Canals,Delivery within Catchment Plans
Culvert,Delivery within Catchment Plans
Ditches,Delivery within Catchment Plans
Other Rivers and Streams,Delivery within Catchment Plans
Priority Habitat,Delivery within Catchment Plans
Canals,Delivery within Local Plans
Culvert,Delivery within Local Plans
Ditches,Delivery within Local Plans
Other Rivers and Streams,Delivery within Local Plans
Priority Habitat,Delivery within Local Plans
Canals,Delivery within Priority Habitats for Restoration
Culvert,Delivery within Priority Habitats for Restoration
Ditches,Delivery within Priority Habitats for Restoration
Other Rivers and Streams,Delivery within Priority Habitats for Restoration
Priority Habitat,Delivery within Priority Habitats for Restoration
Canals,Delivery within River Basin Management Plan
Culvert,Delivery within River Basin Management Plan
Ditches,Delivery within River Basin Management Plan
Other Rivers and Streams,Delivery within River Basin Management Plan
Priority Habitat,Delivery within River Basin Management Plan
