Habitat,Significance
Canals,Low potential/action not identified in any plan 
Canals,Within Local Plans
Canals,Within River Basin Management Plan
Canals,Within Catchment Plans
Canals,Within Catchment Planning System
Canals,Within Priority Habitats for Restoration
Culvert,Low potential/action not identified in any plan 
Culvert,Within Local Plans
Culvert,Within River Basin Management Plan
Culvert,Within Catchment Plans
Culvert,Within Catchment Planning System
Culvert,Within Priority Habitats for Restoration
Ditches,Low potential/action not identified in any plan 
Ditches,Within Local Plans
Ditches,Within River Basin Management Plan
Ditches,Within Catchment Plans
Ditches,Within Catchment Planning System
Ditches,Within Priority Habitats for Restoration
Other Rivers and Streams,Low potential/action not identified in any plan 
Other Rivers and Streams,Within Local Plans
Other Rivers and Streams,Within River Basin Management Plan
Other Rivers and Streams,Within Catchment Plans
Other Rivers and Streams,Within Catchment Planning System
Other Rivers and Streams,Within Priority Habitats for Restoration
Priority Habitat,Low potential/action not identified in any plan 
Priority Habitat,Within Local Plans
Priority Habitat,Within River Basin Management Plan
Priority Habitat,Within Catchment Plans
Priority Habitat,Within Catchment Planning System
Priority Habitat,Within Priority Habitats for Restoration
To be created,N/A
N/A,N/A
